date,open,high,low,close,volume,change,change_percent
2026-04-10,56265.7695,57012.7695,56251.1797,56924.1094,165000000,,
2026-04-13,56421.4609,56765.7188,56232.7812,56502.7695,135300000,,
2026-04-14,57085.6484,57979.8203,57010.1797,57877.3906,143700000,,
2026-04-15,58265.1797,58585.9492,58028.75,58134.2383,161000000,,
2026-04-16,58479.8281,59688.1016,58428.1914,59518.3398,150300000,,
2026-04-17,59255.0898,59381.25,58475.8984,58475.8984,140000000,,
2026-04-20,58821.1602,59169.1289,58687.9609,58824.8906,121500000,,
2026-04-21,59031.5117,59611.9102,59004.7617,59349.1719,129500000,,
2026-04-22,59104.1094,59708.2109,59005.4805,59585.8594,145700000,,
2026-04-23,59758.6406,60013.9805,58621.4805,59140.2305,165300000,,
2026-04-24,59407.4414,59763.6797,59225.3711,59716.1797,141400000,,
2026-04-27,59880.7109,60903.9492,59608.6289,60537.3594,148900000,,
2026-04-28,60531.7812,60634.6602,59701.8398,59917.4609,174500000,,
2026-04-30,59484.7109,59560.5703,58928.1992,59284.9219,201600000,,
2026-05-01,59379.1211,59706.6992,59263.5,59513.1211,150700000,,
2026-05-07,60241.3086,63091.1406,60213.0195,62833.8398,230800000,,
2026-05-08,62654.0117,62724.3594,62137.9492,62713.6484,213500000,-203.961,-0.3242
